,property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,Study room,Servant room,Store room,pooja room,others,furnishing_type,luxury_score
2980,house,Independent,sector 56,11.95,43534.0,2745.0,Plot area 305(255.02 sq.m.),12,12,3,4.0,West,Relatively New,,2745.0,,0,1,0,0,0,2,21
2981,house,Independent,sector 56,12.39,45889.0,2700.0,Plot area 300(250.84 sq.m.),16,18,3,4.0,North-East,Undefined,,2700.0,,0,1,0,1,0,2,49
2982,house,bptp visionnaire,sector 70a,5.4,20690.0,2610.0,Plot area 290(242.48 sq.m.),4,5,3,3.0,North,Relatively New,,2610.0,,1,1,1,1,0,2,136
2983,house,Independent,sector 43,5.75,29716.0,1935.0,Plot area 215(179.77 sq.m.),4,4,2,2.0,North,Undefined,,1935.0,,0,1,1,1,0,0,34
2985,house,Independent,sector 2,5.6,17284.0,3240.0,Plot area 360(301.01 sq.m.),8,6,3,,South-West,Moderately Old,,3240.0,,1,1,1,1,0,0,0
2986,house,Independent,sector 45,17.0,37777.0,4500.0,Plot area 4500(418.06 sq.m.),5,8,3,3.0,North-East,Relatively New,,4500.0,,1,1,1,1,0,1,152
2987,house,experion windchants,sector 112,7.99,12519.0,6382.0,Built Up area: 6382 (592.91 sq.m.),4,6,3,2.0,South-East,Undefined,,6382.0,,0,1,1,1,0,2,129
2989,house,vipul tatvam villa,sector 48,7.25,27971.0,2592.0,Plot area 288(240.8 sq.m.),3,4,2,2.0,South,Moderately Old,,2592.0,,1,1,1,1,0,2,115
2990,house,vipul tatvam villa,sector 48,8.4,21000.0,4000.0,Plot area 4000(371.61 sq.m.),4,5,3,2.0,North,Moderately Old,,4000.0,,1,1,0,1,0,2,49
2994,house,puri diplomatic greens,sector 111,9.0,11250.0,8000.0,Built Up area: 8000 (743.22 sq.m.),5,5,3,3.0,North-East,Relatively New,,8000.0,,0,1,0,0,0,0,112
2997,house,Independent,sector 43,6.5,35400.0,1836.0,Plot area 215(179.77 sq.m.)Built Up area: 215 sq.yards (179.77 sq.m.),5,4,3,3.0,South-East,Moderately Old,,215.0,,0,1,0,1,0,2,54
2998,house,Independent,sector 40,9.5,40135.0,2367.0,Plot area 263(219.9 sq.m.),12,12,3,4.0,NotAvailable,Undefined,,2367.0,,0,0,1,0,0,2,57
3000,house,international city by sobha phase 1,sector 109,5.5,21605.0,2546.0,Plot area 270(225.75 sq.m.),4,4,3,2.0,North-East,Undefined,,2430.0,,0,1,0,0,0,0,61
3001,house,international city by sobha phase 2,sector 109,5.65,10463.0,5400.0,Plot area 600(501.68 sq.m.),4,4,3,2.0,North-East,Undefined,,5400.0,,0,1,0,0,1,2,44
