property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,Study room,Servant room,Store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,godrej air,sector 85,1.83,10005.0,1829.1,Carpet area: 1829 (169.92 sq.m.),3,3,3+,18.0,,Undefined,,,1829.0,0,0,0,0,0,0,110,609.6999999999999
flat,dlf the primus,sector 82a,2.25,10714.0,2100.1,Carpet area: 2100 (195.1 sq.m.),3,3,3+,29.0,East,Relatively New,,,2100.0,0,1,0,0,0,1,72,700.0333333333333
flat,emaar mgf emerald floors premier,sector 65,2.8,16969.0,1650.1,Carpet area: 1650 (153.29 sq.m.),3,3,3+,3.0,,Relatively New,,,1650.0,1,1,0,0,0,2,38,550.0333333333333
flat,dlf regency park,sector 28,1.6,14545.0,1100.0,Carpet area: 1100 (102.19 sq.m.),2,2,2,3.0,North,Relatively New,,,1100.0,0,0,0,0,0,0,52,550.0
flat,supertech araville,sector 79,0.83,5424.0,1530.2,Carpet area: 1530 (142.14 sq.m.),2,2,3,5.0,North-East,Undefined,,,1530.0,1,0,0,0,0,1,49,765.1
flat,signature global park,sohna road,0.83,7410.0,1120.1,Carpet area: 1120 (104.05 sq.m.),3,2,2,1.0,,Undefined,,,1120.0,0,0,0,0,0,0,16,373.3666666666666
flat,maxworth city residences,sector 10a,0.8,6400.0,1250.0,Carpet area: 1250 (116.13 sq.m.),2,3,2,9.0,,Undefined,,,1250.0,0,0,0,0,0,0,46,625.0
flat,deepak minda,manesar,1.25,4715.0,2651.1,Carpet area: 2651 (246.29 sq.m.),4,4,3+,6.0,,Moderately Old,,,2651.0,0,0,0,0,0,2,44,662.775
flat,pivotal devaan,sector 84,0.3,6667.0,450.0,Carpet area: 450 (41.81 sq.m.),1,1,1,14.0,,Undefined,,,450.0,0,0,0,0,0,2,22,450.0
flat,unitech the residences,sector 33,1.55,9872.0,1570.1,Super Built up area 1570(145.86 sq.m.),3,4,1,1.0,South,Relatively New,1570.0,,,0,1,0,0,0,0,37,523.3666666666667
flat,chd avenue,sector 71,0.79,6594.0,1198.1,Super Built up area 1198(111.3 sq.m.),2,2,2,8.0,South-East,Relatively New,1198.0,,,0,0,0,0,1,0,0,599.05
flat,silverglades the melia,sohna road,1.01,7000.0,1442.9,Super Built up area 1450(134.71 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,3,12.0,,Undefined,1450.0,,950.0,1,0,0,0,0,0,80,721.45
flat,sare crescent parc royal greens phase 1,sector 92,0.95,5007.0,1897.3,Super Built up area 1897(176.24 sq.m.),4,5,3+,4.0,,Moderately Old,1897.0,,,0,1,0,0,0,0,37,474.325
flat,umang winter hills,sector 77,0.99,7857.0,1260.0,Super Built up area 1260(117.06 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,1.0,North,Relatively New,1260.0,,1000.0,0,0,0,0,0,0,97,630.0
flat,ramprastha skyz,sector 37d,1.1,6376.0,1725.2,Super Built up area 1725(160.26 sq.m.),3,3,3+,7.0,East,Undefined,1725.0,,,0,0,0,0,0,0,109,575.0666666666667
flat,4s aradhya homes,sector 67a,1.9,8863.0,2143.7,Super Built up area 2200(204.39 sq.m.),4,4,3,3.0,,Undefined,2200.0,,,0,0,0,0,0,2,62,535.925
flat,ild greens,sector 37c,1.0,4320.0,2314.8,Super Built up area 1875(174.19 sq.m.),3,3,3+,5.0,North,Under Construction,1875.0,,,0,0,0,0,0,0,51,771.6
flat,bptp freedom park life,sector 57,2.5,11111.0,2250.0,Super Built up area 2250(209.03 sq.m.),3,3,3,9.0,,Moderately Old,2250.0,,,0,0,0,0,0,0,55,750.0
