property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,Servant room,Store room,furnishing_type,luxury_cat,floorNum_cat,price
0.0,50.0,2,2,2.0,2.0,675.0,0,0,0,0.0,2.0,0.42
0.0,41.0,2,2,0.0,2.0,1056.0,0,0,0,2.0,2.0,1.35
0.0,8.0,2,2,2.0,2.0,59.4,0,0,0,0.0,1.0,1.6
0.0,57.0,4,4,4.0,0.0,3110.0,0,0,2,1.0,0.0,3.25
0.0,106.0,2,2,1.0,2.0,562.9412061,0,0,0,0.0,2.0,0.45
0.0,112.0,3,2,2.0,2.0,1300.0,0,0,0,0.0,0.0,0.85
0.0,110.0,2,2,3.0,2.0,1170.0,0,0,0,2.0,2.0,0.75
0.0,84.0,2,2,4.0,3.0,1298.0,0,0,0,2.0,0.0,0.82
0.0,19.0,3,3,2.0,0.0,1919.75,1,0,0,2.0,1.0,1.8
0.0,118.0,2,2,2.0,2.0,610.0,0,0,0,1.0,2.0,0.3
0.0,50.0,2,2,3.0,0.0,1068.1,0,0,2,1.0,1.0,0.78
0.0,57.0,3,3,2.0,2.0,1188.0,1,0,1,0.0,1.0,2.0
0.0,118.0,2,2,4.0,2.0,1089.0,0,0,0,2.0,0.0,0.74
0.0,16.0,3,3,4.0,2.0,1801.8,1,0,0,0.0,2.0,3.2
0.0,100.0,4,4,4.0,2.0,2156.0,1,0,0,1.0,1.0,1.3
0.0,43.0,2,2,2.0,2.0,630.0,0,0,0,0.0,1.0,0.25
0.0,118.0,3,2,4.0,2.0,1210.723472,0,0,0,0.0,1.0,0.95
0.0,110.0,4,4,4.0,2.0,2454.3,1,0,2,1.0,2.0,1.99
0.0,16.0,2,2,2.0,2.0,1246.5,0,0,0,2.0,2.0,1.05
0.0,104.0,3,3,4.0,2.0,1646.1,0,0,0,1.0,0.0,1.83
0.0,101.0,3,3,4.0,2.0,1890.0,1,0,1,2.0,0.0,2.25
0.0,80.0,3,3,4.0,2.0,1485.0,1,0,2,0.0,2.0,2.8
0.0,40.0,2,2,2.0,2.0,990.0,0,0,0,2.0,2.0,1.6
0.0,96.0,2,2,3.0,2.0,1377.0,0,0,1,0.0,2.0,0.83
0.0,118.0,3,2,2.0,2.0,1008.0,0,0,0,0.0,1.0,0.83
0.0,20.0,2,3,2.0,2.0,1125.0,0,0,0,0.0,2.0,0.8
0.0,5.0,4,4,4.0,0.0,2385.9,0,0,2,0.0,2.0,1.25
0.0,103.0,1,1,1.0,2.0,405.0,0,0,2,0.0,0.0,0.3
0.0,46.0,3,4,1.0,2.0,1727.0000000000002,1,0,0,0.0,1.0,1.55
0.0,89.0,2,2,2.0,2.0,1317.8000000000002,0,0,0,0.0,2.0,0.79
0.0,118.0,2,2,3.0,2.0,1225.0,0,0,0,2.0,0.0,1.01
0.0,112.0,4,5,4.0,0.0,2086.7000000000003,1,0,0,0.0,2.0,0.95
0.0,94.0,2,2,2.0,2.0,1143.0,0,0,0,2.0,1.0,0.99
0.0,51.0,3,3,4.0,2.0,1897.5,0,0,0,1.0,2.0,1.1
0.0,83.0,4,4,3.0,2.0,2420.0,0,0,2,2.0,2.0,1.9
0.0,50.0,3,3,4.0,3.0,2062.5,0,0,0,2.0,2.0,1.0
0.0,71.0,3,3,3.0,0.0,2475.0,0,0,0,2.0,2.0,2.5
0.0,41.0,2,2,2.0,3.0,1162.238,0,0,0,2.0,0.0,1.1
0.0,114.0,2,2,2.0,2.0,616.0,0,0,0,2.0,0.0,0.29
0.0,114.0,2,2,3.0,2.0,990.0,0,0,0,0.0,0.0,0.55
0.0,112.0,3,2,3.0,2.0,1507.0000000000002,0,0,0,0.0,2.0,0.65
0.0,118.0,2,2,2.0,2.0,478.3692438000001,0,0,0,0.0,2.0,0.5
0.0,116.0,2,2,1.0,2.0,572.8265,0,0,0,0.0,1.0,0.32
0.0,13.0,2,3,3.0,2.0,1306.8,1,0,2,2.0,2.0,0.93
0.0,108.0,3,3,2.0,1.0,1280.7,0,0,0,0.0,1.0,1.2
