property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,Study room,Servant room,Store room,pooja room,others,furnishing_type,luxury_score
flat,pareena coban residences,sector 99a,1.6,8000.0,3,3,3,6.0,Under Construction,2200.0,0,0,0,0,0,0,0
flat,la vida by tata housing,sector 113,1.5,11755.0,2,2,2,13.0,Relatively New,1148.4,0,0,0,0,0,0,71
flat,la vida by tata housing,sector 113,1.5,11755.0,2,2,2,13.0,Relatively New,1403.6000000000001,0,0,0,0,0,0,60
flat,godrej summit premia towers,sector 104,0.9,7149.0,2,2,0,16.0,Relatively New,1259.0,0,0,0,0,0,0,0
flat,ardee city,sector 52,1.5,9146.0,4,4,3,3.0,Moderately Old,1804.0000000000002,0,0,0,0,0,0,65
flat,m3m one key resiments,sector 67,0.8,13115.0,1,1,0,0.0,Relatively New,610.0,0,0,0,0,0,0,0
flat,ansal heights 86,sector 86,1.25,7396.0,3,2,1,11.0,Relatively New,1859.0000000000002,0,0,0,0,0,0,45
flat,mvn athens,sohna road,0.26,5397.0,2,2,1,2.0,Relatively New,433.61294760000004,0,0,0,0,0,0,37
flat,signature the serenas,sohna road,0.42,7909.0,2,2,1,12.0,Relatively New,477.90000000000003,0,0,0,0,0,0,54
flat,sushant lok 1 builder floors,sector 43,2.5,12920.0,3,3,2,2.0,Relatively New,236.50000000000003,0,0,0,0,0,0,0
flat,umang monsoon breeze,sector 78,0.9,4615.0,3,3,2,1.0,Moderately Old,1900.0,0,1,0,1,0,0,65
flat,gls avenue 51,sector 92,0.42,7106.0,2,2,1,4.0,Relatively New,531.9,1,0,0,1,0,2,42
flat,signature global solera,sector 107,0.5,7692.0,2,2,1,11.0,Relatively New,600.6,0,0,0,0,0,0,55
flat,supertech araville,sector 79,0.9,5883.0,2,2,3,5.0,Relatively New,1450.0,1,0,0,0,0,0,53
flat,greenopolis,sector 89,1.3,6806.0,3,3,3+,1.0,Relatively New,1719.0,0,1,0,0,0,0,35
flat,central park flower valley aqua front towers,sector 33,1.7,9502.0,3,3,3,12.0,Under Construction,1967.9,0,0,0,0,0,0,24
flat,sare homes,sector 92,1.25,6200.0,4,3,0,16.0,Relatively New,2040.0,0,0,0,0,0,0,49
flat,vatika sovereign next sector-82 a gurgaon,sector 82a,2.91,6700.0,4,4,3,6.0,Under Construction,3958.5,1,1,1,0,0,2,79
flat,bhagwati sadan,sector 12,1.15,5750.0,3,4,2,2.0,Relatively New,2000.0,1,1,0,0,1,2,28
flat,smart world gems,sector 89,1.2,12526.0,3,3,3,3.0,Relatively New,862.2,0,0,1,1,0,0,131
flat,micasa sec 68,sohna road road,1.5,12244.0,2,2,3,11.0,Moderately Old,1102.5,0,0,0,0,0,0,44
flat,eldeco accolade,sohna road,1.3,7424.0,3,3,3+,10.0,Relatively New,1543.5500000000002,0,0,0,0,0,0,49
flat,hero homes,sector 104,1.75,10361.0,3,3,3,2.0,Relatively New,1857.9,0,0,0,0,0,0,30
flat,shyam sadan,sector 3 phase 2,0.55,6470.0,2,2,1,4.0,Relatively New,630.0,1,0,0,0,0,2,69
